Taluka,College Name,Name Data
Chikhaldara,DADASAHEB GAWAI VIDYALAYA,
Chikhaldara,"GADGE MAHARAJ VIDYALAYA, JAMLI -R",
Chikhaldara,GOVT ASHRAM GIRLS SCHOOL TEMBRUSONDA,
Latur,MUKTESHWAR SECONDARY & HIGHER SECODARY SCHOOLKTESH,
Latur,SARASWATI MADHYMIK AND UCCHA M H.S. LATUR,
Bhor,AMRITA VIDYALAYAM BANESHWAR,
Nawapur,P.A. SO. SARVAJANIK HIGH SCHOO,
Nawapur,SHRI SHIVAJI HIGH SCHOOL NAVAPUR AND JR COLLEGE NAVAPUR,
Nawapur,THE N.D. & M.Y. SARVAJANIK HIGH SCHOOL AND SHETH H.J.SHAH JUNIOR COLLEGE,
Sindkhede,D.R.B.O.D.HIGH SCHOOL DONDAICH,
Sindkhede,"HASTI PUBLIC SCHOOL & JUNIOR COLLEGE, DONDAICHA",
Sindkhede,NUTAN HIGH AND JR SCIENCE COLLEGE DONDAICH,
Sindkhede,S.V.S R.D.M.P. HIGH SCHOOL AND JUNIOR COLLEGE DONDAICHA,
Sindkhede,"S.V.SS GIRLS HIGH SCHOOL AND JUNIOR COLLEGE,DONDAICHA",
Sindkhede,"V.J.N.T. MADHYAMIK ASHRAM SCHOOL, DONDAICHA",
Malkapur,ALI ALLANA URDU HIGH SCHOOL & SCIENCE Jr. COLLEGE MALKAPUR,
Malkapur,GOVIND VISHNU MAHAJAN VID MALKAPUR,
Malkapur,"HIRABAI SANCHETI GIRLS VIDYALAYA & JUNIOR COLLEGE, MALKAPUR",
Malkapur,"LILADHAR BHOJRAJ CHANDK VIDYALAYA & JUNIOR COLLEGE, MALKAPUR",
Malkapur,MADHUBHAU SAVAJI MID ENG SCH,
Malkapur,"NP UP PRI, SEC & HSEC SCH, MALKAPUR",
Malkapur,NUTAN VID MALKAPUR,
Malkapur,URDU GIRLS HIGH SCH & JR COLLEGE,
Malkapur,Z.A. URDU HIGH SCH MALKAPUR,
Chandur Railway,DR. MUKUNDRAO K. PAWAR PUBLIC SCHOOL DHAMANGAON JUNA,
Amalner,ADARSHA SEC. HIGH SCH. AMALGAON,
Daryapur,MADHYAMIK VIDYALAYA & UCCH MADHYAMIK VIDYALAYA KANHOLI,
Akole,AGASTI V.AKOLE,
Akole,"MARUTIRAO KOTE ABHINAV PUBLIC SCHOOL AND JUNIOUR COLLEGE OF SCIENCE,AKOLE",
Akole,"MODERN HIGH SCHOOL, JUNIOR COLLEGE OF ARTS, COMMERCE AND BHASKARRAO KADAM (GURUJI) SCIENCE AKOLE",
Mauda,"SARVODAYA VDY., DHANLA",
Nagpur (Rural),"BHOSALA MILITARY SCH., CHAKKIKHAPA",
Nagpur (Rural),"MODERN SCHOOL,BOKHARA",
Nagpur (Rural),"SARASWATI HIGH SCHOOL, BOKHARA",
Nagpur (Rural),"SHRI KRISHNA MDY. VDY, GODHANI RLY.",
Nagpur (Rural),"TULI PUBLIC SCHOOL, BOKHARA",
Tasgaon,MA.R.R.(ABA)PATIL VIDYALAY & Jr. Colle. ANJANI,
Khamgaon,ADARSHA VIDYALAYA,
Khamgaon,"LT B SHINGNE VID & JR CL, BORAJWALA",
Digras,"ADARSHA VIDYALAYA & JU COLLEGE,TIWARI",
Digras,"PIRU NAIK VJNT ASHRAM HIGH SEC SCH,TIWARI",
Digras,"SHAMA NAIK VIDYALAYA & JN COLLEGE,SAKHARA",
Indapur,BHAIRAVNATH SEC & HIGH SEC VID,
Indapur,VITTHALRAO  THORAT SECONDARY AND HIGHER SECONDARY ENGLISH MEDIUM SCHOOL BHIGWAN,
Vada,ASPEE HIGHSCHOOL UCHAT,
Ambarnath,ADARSH VIDYAMANDIR MARATHI SEC.,
Osmanabad,HARIBHAU GHOGARE HIGH SCHOOL ATTACHED SOU.  KESHARBAI LIMBRAJ PADWAL  HIGHER SECONDARY SCHOOL UPALE  M,
Osmanabad,LALBABHDUR SHASTRI HIGHSCHOOL,
Walwa,BHARATMANT HIGH SCHOOL CHIKURDE,
Walwa,SHIVRAJ VIDYALAY AITAVADE KH,
Walwa,NEW ENGLISH SCHOOL (PETH),
Walwa,KAMERI KANYA HIGHSCHOOL KAMERI,
Palus,SECONDARY SCHOOL BHILVDI,
Shirala,SHREE MANGALNATH  SEC &HIGH SE,
Chandgad,SHRI SIDDHESHWAR HIGHSCOOL,
Shirala,SAMAJ VIKAS SEC AND HIGHER SEC SCHOOL,
Shirala,SHREE DATTA VIDYALAYA AND P.D. PAWAR HIGHER SECONDARY SCHOOL KANDUR,
Shirala,VISHVAS VIDYANIKETAN VIDY.CHIKHALI,
Shirala,WARANA VALLEY SCHOOL SAGAON,
Shirala,"WARANA VIDYALAYA & JUNIOR COLLLEGE (ARTS), SAGAON (WARANA), TAL - SHIRALA, DIST - SANGLI.",
Shirala,KANYA SHALA SHIRALA Shirala,
Shirala,NEW ENGLISH SCHOOL & JR. COLLEGE OF SCIENCE SHIRALA,
Shirala,SHRI.SHIV CHATRAPATI VIDY. SHIRALA,
Walwa,D.R.PATIL HIGHSCHOOL TAKARI,
Walwa,Krantisinh Nana Patil Vidyalya & Jr. College Bhavaninagar,
Haveli,MICKYS HISCHOOL,
Miraj,S.M. HIGHSCHOOL MALGAON,
Thane,"Netaji high school & Jr. college,Ulhasnagar - 4",
Ambarnath,KING LORD SEC ENG SCHOOLCOLLEGE,
Hingna,"ADARSH BHARAT VDY., MOHAGAON",
Udgir,GANGA MATA KANYA MADHYAMIK UCHHA MADHYAMIK VIDYALYA,
Udgir,NIRMALA PURI VIDYALYA,
Hingoli,MAULANA AZAD URDU HIGH SCHOOL JUNIOR COLLEGE HINGOLI,
Hingoli,Rashtramata Jijau Vidhyaniketan School AndharWadi Hingoli,
Hingoli,"Sarjudevi Bhikulal Bharuka Arya Kanya Secondary And Higher Secondary School , HIngoli",
Hingoli,SHANKAR RAO CHA. URDU HIGH HIN,
Kurla,ADARSH HINDI HIGH SCHOOL & JR. COLLEGE (ARTS & COMMERCE),
Kurla,BHARATRATNA DR.B.A.ENG. H S,
Kurla,GURU NANAK HIGHER SECONDARY S.,
Kurla,KAMARAJAR MEMORIAL ENGLISH HIGH SCHOOL AND JUNIOR COLLEGE,
Kurla,KENDRIYA VIDYALAYA KOLIWADA,
Kurla,MARIA ENGLISH HIGH SCHOOL,
Kurla,PRIYADARSHINI VIDYAMANDIR,
Kurla,SHRI GAURIDUTT MITTAL VIDYALAYA,
Kurla,SHRI SANATAN DHARAM High School & Junior College,
Kurla,TRINITY HIGH SCHOOL,
Igatpuri,JANTA VIDYALAYA & JR COLLEGE  GHOTI,
Muktainagar (Edlabad),ALFALAH URDU HIGH SCHOOL,
Muktainagar (Edlabad),JAGJIVANDAS ENGLLISH SCHOOL.  & JUNIOR COLLEGE,
Bhadgaon,ADARSH KANYA VIDYALAY & JR.COLLEGE BHADGAON,
Bhadgaon,JIJAMATA SEC.SCH AND JR.COLLAGE BHADGAON,
Bhadgaon,LADKUBAI VIDYAMANDI & DADASO. SUPADU MALJI PATIL Jr. COLLEGE BHADGAON TAL - BHADGAON DIST - JALGAON,
Bhadgaon,S.G. PATIL SEC.SCH.,
Bhadgaon,SHRI SAI SAMARTH ITI BHADGAON,
Bhadgaon,YUNUS KHAN HAJI MUSA KHAN URDU HIGH SCHOOL & NATIONAL URDU JR. COLLEGE  BHADGAON DIST JALGAON,
Jamner,"ANJUMAN HIGH SCHOOL AND JUNIOR COLLEGE, JAMNER,DIST.JALGAON.",
Jamner,DNYANGANGA SEC AND HIGHER SCE SCHOOL JAMNER,
Jamner,INDIRA LALWANI SEC SCH.JAMNERPURA,
Nandgaon,MADHYA RAILWAY MAD. VIDYALAYA MANMAD,
Miraj,NANDRE  VIDYALAYA NANDRE,
Niphad,"NIPHAD ENGLISH SCHOOL ,NIPHAD",
Niphad,"VAINATEYA VIDYALAYA & JR.COLLEGE OF SCIENCE, NIPHAD",
Sangamner,VIDHYA PRABODHINI M V SAKUR,
Sangamner,VIRBHADRA V.SAKUR,
Savner,"BHIKULAL CHANDAK HS, KELWAD",
Savner,"BHIMRAOBAPU DESHMUKH ADARSH HS, KELWAD",
Akola,GOVT TECHNICAL HS AKOLA,
Akola,GURUNANAK  ENG HS Guru Nanak Jr college of science and commerce,
Akola,JUBILI ENGLISH UPP SCH,
Akola,MAHARASHTRA SEC SCHOOL,
Akola,MOHARIDEVI KHANDELWAL HIGHER SECONDARY KANYA VIDYALAYA AKOLA,
Akola,"N.W.W. Swawalambi Vidyalaya & Shri R. K. Shukla Uchcha Madhyamik Vid., Akola",
Akola,SAHABABU URDU HS. HAMAZA PLOT AKOLA,
Thane,MAZIDUN HIGH SCHOOL AND JR. COLLEGE AIROLI,
Bhokardan,ALHUDA URDU MADHYAMIK WA UCCHA MADDHYAMIK VIDDHALAY BHOKARDAN,
Bhokardan,NEW HIGH SCHOOL BHOKARDAN,
Bhokardan,PRIYA DARSHANI KANYA HIGH SCHOOL AND JR COLLEGE,
Bhokardan,SHIVAJI VIDYALYA BHOKARDAN,
Wardha,ANANDRAO MEGHE VIDYALAYA BORGAON (M).,
Wardha,GANDHI CITY PUBLIC SCHOOL  Wardha  SINDHI M,
Wardha,LLOYDS VIDYA BHAVAN BHUGAON,
Wardha,RAMABAI KANYA VIDYALAYA SINDHI M,
Phulambri,FAKIR MOHAMMAD HS and JR COLLEGE  PHULAMBRI,
Phulambri,RADHABAI WANKHEDE HIGH SCHOOL,
Phulambri,ZPUPtoHSPH GANORI,
Phulambri,ZPUPtoHSPH PHULAMBRI,
Bhiwandi,G.E.I.S.S.V.JOSHI HIGH SCHOOL & JUNIOR COLLEGE,
Bhiwandi,PRAKASH VIDYALAYA SEC.SCHOOL,
Bhiwandi,TILAKNAGAR VIDYAMANDIR ( SEC ),
Hatkanangle,ADARSH GURUKUL VIDYALAYA VA JUNIOUR COLLEGE PETH VADGAON,
Hatkanangle,BALVANTRAO YADAV HIGH.VADGAON,
Hatkanangle,SMT.INDIRA GANDI MADY.VIDYALAY,
Hatkanangle,VADGAON VIDYALAY(H.S) VADGAON,
Hatkanangle,VIJAYADEVI YADV ENG.MED.SCH. VADGAON,
Ambegaon,SHREE SANGMESHWAR VID.PARGAON,
Chandgad,SHRI RAM VIDYALAY KOWAD,
Nawapur,MADYMIC VIDAYALE,
Wardha,ADARSH HIGH SCHOOL ANJI(M),
Wardha,GIRLS HIGH SCHOOL ANJI,
Bhandara,ADARSH HIGH SCHOOL DABHA,
Parseoni,"DHARAMRAAJ VID., KANHAN",
Parseoni,SREE NARAYANA VIDHYALAYA ENGLISH MEDIUM HIGH SCHOOL AND JR COLLEGE KANHAN,
Maregaon,"ADARSH HIGH SCHOOL, MARDI",
Maregaon,RASHTRIYA VIDYALAYA MAREGAON,
Maregaon,"VIDYA NIKETAN ENGLISH MEDIUM HIGH SCHOOL & JR. COLLEGE OF SCIENCE, MAREGAON",
Umarga,ADARSH HIGHSCHOOL OMERGA,
Umarga,"JAWALGE MARATHI  SECONDARY & HIGHSEC , OMERGASCHOOL, OMERGA",
Umarga,"JAWALGE URDU SECONDARY & HIGHSEC,OMERGA SCHOOL, OMERGA",
Umarga,"SHRIKRISHNA SECONDARY AND HIGHER SECONDARY SCHOOL, GUNJOTI",
Nawapur,ADARSH HIGH SCHOOL RAIPUR TAL-NAVAPUR DIST-NANDURBAR,
Barshi,"AD.DILIP SOPAL VIDYALAYA , HALDUGE",
Barshi,MALEGAON PRASHALA MALEGAON-- R,
Barshi,MITRA VIDYALAY MALEGAON,
Wani,"ADARSH HIGH SCHOOL VA UCCHA MADHYAMIK VIDYALAYA, SHINDOLA.",
Wani,BHASKARRAO TAJANE MADHYAMIK VA UCCHA MADHYAMIK VIDYALAYA KALMANA,
Wani,JAGANNATH MAHARAJ VIDYALAYA WANI,
Wani,"S.P.M. HIGH SCHOOL, WANI",
Wani,wani lions english medium  highschool & jr college wani,
Wani,"WANI PUBLIC SCHOOL, WANI",
Wani,Z. P. HIGH SCHOOL,
Kurla,DAYANAND VEDIC VIDYALAYA(H.H.S.) & JUNIOR COLLEGE,
Kurla,FRIENDS CO OP EDN SOC LTD (ENGLISH MEDIUM SECONDARY SCHOOL & JR. COLLEGE),
Kurla,H. K. GIDWANI COSMOPOLITAN ENGLISH HIGH SCHOOL & JUNIOR COLLEGE,
Kurla,Jai Bharat High School & Jr. college of commerce and Science,
Kurla,J.J.ACADEMI HGS MULUND (W),
Kurla,"JNANA SARITA SCH.& JR.COL,MULUND",
Kurla,NOBAL ENGLISH HIGH SCHOOL,
Kurla,NUTAN HINDI NIGHT HGS MULUND,
Kurla,NUTAN SARSWATI HGS. MULUND (W),
Kurla,RAJARAM SHETH VIDYALAYA,
Kurla,VIDYABEN GARDI HIGH SCHOOL & JR. COLLEGE MULUND (W),
Korpana,LT B CHATAP SEC. ASH. SCH/SHARD CANDRA PAWAR UCHYA MADYAMIK ASHRAM SHALA GADCHANDUR,
Korpana,MANIKGAR CIMENT ENG.SCH.& VI.,
Korpana,M.G.VIDYALAYA,
Korpana,SAVITRIBHAI FULE VIDYALAYA,
Korpana,SHREE SHIVAJI ENG SCH.,
Korpana,SHRI PRABHU RAMCHANDRA VIDYALAYA NANDA.,
Vada,"H.V.PATIL VIDYALAY AND G.B. PATIL ARTS SCIENCE JUNIOR COLLEGE , CHINCHGHAR",
Vada,NATIONAL ENGLISH SCHOOL AND JUNIOR COLLEGE OF SCIENCE AND COMMERCE KUDUS,
Sangole,S.SHIVAJI VIDHYALAY MAHUD--BK,
Shevgaon,LATE VIMALBAI GANGADHAR GAIKWAD SECONDARY AND HIGHER SECONDARY SCHOOL GAIKWADJALGAON,
Shevgaon,SHRI BHAGWAN VIDYALAYA,
Kaij,ADARSH KANYA VID BANSAROLA,
Kaij,VASUNDHARA HS KANADI BADAN,
Murtijapur,ADARSH KANYAVIDYALAYA AND JR.ART COLLEGE MURTIZAPUR,
Nagpur (Urban),ABC College,
Murtijapur,GULAM NABI AZAAD URDU GIRLS HIGH SCHOOL MURTIZAPUR,
Murtijapur,INTERNATIONAL SCHOOL OF INTEGRATIVE EDUCATION MURTIZAPUR,
Murtijapur,JAYNARAYANJI BOOB NP HINDI VIDYALAYA AND URDU JR.COLL. MURTIZAPUR,
Murtijapur,SHRI GADGE MAHARAJ VIDYALAYA AND JR.SCI.CO.MURTIZAPUR,
Mohadi,PANDURANG BURDE HIGH SCHOOL AND JUNIOR COLLEGE ANDHALGAON,
Mohadi,Z..P. HIGH  SCHOOL & JR.COLLEGE ANDHALGAONZ.,
Ballarpur,CHINTAMANI VIDYALAYA AND KANISHTHA MAHAVIDYALAYA VISAPUR,
Ballarpur,LATE GOPALRAO WANKHEDE VIDAYALAYA AND JR COLLEGE NANDGAON PODE,
Ballarpur,SANMITRA SAINAIK VID,
Korpana,ADARSH KISAN VIDYALAYA,
Korpana,MAHATMA GANDHI VIDYALAYA,
Pachora,LATE BHIVSING F.NAIK-PAWAR SEC WADGAON AMBE BK,
Vikramgad,"S.B.G.S.VIDYALAY AND JUNIOR COLLEGE ,ALONDE",
Satara,SHARDABAI PAWAR SECONDRY & HIGHER SECONDRY ASHRAMSHALA JAKATWADI SATARA,
Igatpuri,NEW ENGLISH SCHOOL AND JUNIOR COLLAGE AHURLI,
Shirur,SHRI DATTA MADYAMIK & UCHHA MADYAMIK VIDYALAYA PIMPARKHED.,
Khanapur,"ADARSH MADHYAMIK & UCCHAMADHYAMIK VIDYAMANDIR, VITA",
Khanapur,MAHATMA GANDHI SCHOOL,
Khanapur,NAVIN MARATHI MADH. & Jr. College of Science,
Khanapur,NEW ENGLISH SCHOOL VITA,
Khanapur,VITA HIGH SCHOOL,
Pathardi,ADARSH MADHYAMIK VA UCHH MADHYAMIK VIDYALAYA PATHARDI,
Pathardi,M.M.NIRHALI V.PATHARDI,
Pathardi,PADMABHUSHAN VASANT DADA PATIL VIDYALAYA,
Pathardi,SHRI TILOK JAIN HIGHER SECONDARY VIDYALAYA PATHARDI,
Atpadi,SIDHHNATH HIGHSCHOOL KHARSUNDI,
Nawapur,GOVT. ASHRAM SCHOOL,
Miraj,"JIJAMATA KANYA MADH.VA UCCH.MADH.VIDYALAYA,BUDHGAON",
Dharni,ADARSH MADHYAMIK VIDYALAYA CHAKARDA,
Pune City,H M LONKAR SEC &H SEC,
Chiplun,Vasant Jayaram Bhagawat Vidyamandir & Junior College Arts- Commerce  Borgaon,
Malegaon,K K WAGH ENGLISH SCHOOL SECONDARY SECTION SARASWATI NAGAR NASHIK,
Malegaon,K.K.WAGH SEC SCHOOL & JUNIOR COLLEGE,
Ausa,AJEEM MADHYMIK VIDYALYA H.S.,
Ausa,AJEEM URDU HIGHSCHOOL,
Ausa,Pratibhaniketan Madhyamik & Ucch Madhyamik Ashram Shala Manohar Tanda Tq Ausa Dist.Latur,
Ausa,SHRI MUKTESHWAR SECONDARY AND HIGHER SECONDARY SCHOOL AUSA,
Malegaon,NUTAN MADYAMIK VID VIRANE,
Niphad,"LOKNETE DATTAJI PATIL MAD. VID, LASALGAO",
Niphad,"MAHAVEER HIGH SCH, LASALGAON",
Niphad,"NATIONAL URDU HIGH SCH , LASALGAON",
Nashik,CHATRAPATI SHIVAJI VIDYA SHINDE,
Kurla,ST. FRANCIS HIGH SCHOOL,
Kurla,SWAMI VIVEKANAND HIGH SCHOOL AND JUNIOR COLLEGE,
Shahapur,SHAHA C.  HIGHSCHOOL KINHAVALI,
Aurangabad,ADARSH MARATHI HS PADEGAON MITMITA PARISAR,
Aurangabad,DNYANSAGAR MADHYMIK V UCCAH MADHYAMIK VIDYALAYA,
Aurangabad,MAHARASHTRA MARATHI HS PADEGAON TISGAON AREA,
Aurangabad,PRAGATI SEC..& HIGHER SECONDRY SCHOOL  PADEGAON,
Aurangabad,QAMER URDU HIGH SCHOOL AND JUNIOR COLLEGE MUZAFFAR NAGAR N 13 AURANGABAD,
Kannad,VASNTRAO NAIK SEC AND HIGH SEC  TELWADI,
Aurangabad,LT GURUBAKSHASING SABARWAL SECONDARY & HIGHER SECONDARY SCHOOL NAIGAON (BHIKAPUR) TQ DIST AURANGABAD,
Aurangabad,MATOSHRI KALAWATI SEC. & HIGHER SEC.SCHOOL SAWANGI,
Aurangabad,STEPPING STONES H S HARSOOL SAWANGI,
Bhiwandi,B.R.MADHAVI ENG.SEC. SCHOOL,
Bhiwandi,D.N.C.MULTIPURPOSE HIGH SCHOOL & JR COLLEGE,
Bhiwandi,THE S. K. PATIL ENG. MED. SEC. SCHOOL & Jr. COLLEGE OF COMMERCE,
Hinganghat,ARUN THUTE LOK VIKAS VIDYALAYA  & JR. COLLEGE SELU ( MURPAD),
Karjat,SWANAND V.CHINCHOLI KALDAT,
Kavathemahankal,"BIROBA VIDYALAYA, AREWADI-DHALGAON",
Kavathemahankal,NEW ENGLISH SCHOOL IRALI,
Kavathemahankal,SIDDHESHWAR HIGHSCOOL NAGAJ,
Pandharpur,ADARSH PRASHALA VA JUNIOR COLLAGE KARKAMB.,
Karad,TILAK HIGH SCHOOL AND JUNIOR COLLEGE KARAD,
Karad,VITHAMATA VIDYALAY KARAD,
Kalamnuri,GULABNABI AZAD URDU HIGH KALAM,
Kalamnuri,MAHATMA FULE V.KALAMNURI,
Kalamnuri,SHANKARRAO SATAV V.KALAMNURI,
Kalamnuri,SHIVRAMJI MOGHE SAINIK KALAMNU,
Dhule,"Bapusaheb D.D.Vispute Scondary and higher secondary school, Walwadi",
Dhule,D.V. PATIL HIGH SCHOOL,
Dhule,S.R.PATIL HIGH SCHOOL,
Mangaon,MANGAON JUNIOR COLLEGE MANGAON,
Mangaon,S S NIKAM ENGLISH SCHOOL AND JR. SCIENCE COLLEGE MANGAON,
Washi,"GANESH VIDYALAYA, TERKHEDA",
Jalgaon,S.S.THEPADE SEC. SCH.,
Sakri,ADARSH VIDYA MANDIR AND JR COLLEGE NIZAMPUR JAITANE TAL.SAKRI DIST DHULE,
Akkalkot,AL-HAJ ZAINABBI SHABDI URDU HIGH SCHOOL AND JR.COLLEGE MAINDARGI,
Akkalkot,SHRI SHIVACHALESHWAR HIGH SCHOOL & JR. COLLEGE MAINDARGI,
Phulambri,NEW HIGH SCHOOL KINGAON,
Nilanga,INDIRA SECONDARY & HIGHER SECONDARY VIDHYALAYA NILANGA,
Nilanga,JAI BHARAT VIDYALYA H.S.,
Nilanga,RAHAMNIYA URDU VIDYALYA H.S.,
Pandharpur,Patkuroli Prashala and Junior college Patwardhan kuroli,
Talode,A.S.M. NEW HIGH SCHOOL,
Talode,MODERN ENGLISH SCHOOL,
Nashik,Madhyamik Vidyamandir and Jr. College Eklahare Colony Tal/Dist Nashik,
Bhusawal,B.Z. URDU HIGH SCH. BHUSAWAL,
Bhusawal,D S HIGHSCHOOL & JR.COLLEGE  BHUSAWAL,
Bhusawal,K. NARKHEDE SCH. BHUSAWAL,
Bhusawal,SHRI. D.L. HINDI HIGH SCH.& JR. COLLEGE BHUSAWAL,
Bhusawal,SHRI SANT GADAGE MAHARAJ HINDI HIGHSCHOOL BHUSAWAL,
Bhusawal,"SHRI.S.G.TEMANI GIRLS HINDI HIGH SCHOOL & JUNIOR COLLEGE,BHUSAWAL",
Bhusawal,USAMA URDU HIGH SCHOOL AND JR. COLLEGE  BHUSAWAL,
Erandol,GOURISHANKAR SEC. SCH. RAVANJE BK,
Arvi,MODEL HIGH SCHOOL&JUNIOR COLLEGE ARVI,
Arvi,MUNICIPAL  SECONDARY  &  HIGHER  SECONDARY  SCHOOL  ARVI,
Arvi,Z. P. SEC. KANYA SCHOOL ARVI,
Solapur South,"JEEVAN VIKAS HIGHER SECONDARY PRASHALA, BHANDARKAVATHE TAL S. SOLAPUR",
Solapur South,"SHRI BASAVESHWAR SEC. & HIG. SEC. SCHOOL, NIMBARGI",
Pachora,D. M. SOU. N. D. GIRLS SCH. PACHORA,
Pachora,SEC. GIRLS HIGH SCH. PACHORA,
Nashik,"GRAMODAY SECONDARY AND HIGHER  SECONDARY SCHOOL, SHIVAJI CHOWK,OLD CIDCO,NASHIK-9",
Nashik,SAINT LAWRENCE SEC SCH MORWADI,
Bid,ADARSH VID ADARSH NAGAR BEED,
Bid,CHAMPAVATI  SECONDARY AND HIGHER SECONDARY SCHOOL BEED,
Bid,INDIRA GANDHI MEMORIYL URDU HS,
Bid,SHRI VENKATESH PUBLIC SCHOOL & JR. COLLAGE BEED,
Kaij,GANESH VID TAMBVA,
Kaij,MADHYAMIK VID BANKARANJA,
Kaij,NOORJAHA HS  (URDU)  KAIJ,
Kaij,PRO. VISHWANATHRAO KARAD SECONDERY AND HIGHER SECONDERY SCHOOL KAIJ,
Kaij,RAMRAO PATIL VID KAIJ,
Kaij,SARASWATI KANYA PS KAIJ,
Kaij,Vasant Jr College Kaij,
Koregaon,DR. V.G. ALAIS KAKASAHEB PARANJAPE VIDYALAYA AND JR COLLEGE OF SCI ARTS COMRAHIMATPUR,
Koregaon,VASANTDADA PATIL VID. RAHIMATP,
Aurangabad,NATH VALLEY SCHOOL,
Aurangabad,Public High School & Patel Junior College Shah Nagar Beed By Pass Raod Satara Parisar Aurangabad,
Nagpur (Urban),ADARSH SANSKAR VDY & JR. ENG MED,
Nagpur (Urban),BABA NANAK SINDHI HINDI MDY JR,
Nagpur (Urban),BHAGWATI  HIGH  &  JR. COLLEGE,
Nagpur (Urban),CHHATRAPATI MDY & UPP PRI SCHOOL CHITANVISPURA NAGPUR,
Nagpur (Urban),GAYTRI VIDYA MANDIR & JR. COLLEGE,
Nagpur (Urban),GYANVIKAS  MADHYAMIK VA UCHCHA MADHYAMIK VIDYALAYA,
Nagpur (Urban),JAY BHARAT HIGH SCHOOL,
Nagpur (Urban),"JINGLE BELLS HIGH SCHOOL,Junior College",
Nagpur (Urban),JYOTIBA MDY VDY & JR. COLLEGE,
Nagpur (Urban),KESHAV NGR HIGH SCH,
Nagpur (Urban),NAGPUR NIGHT HIGH SCH,
Nagpur (Urban),NANDANWAN HIGH SCHOOL & JUNIOR COLLEGE,
Nagpur (Urban),SAINT XAEVIERS HIGH SCHOOL,
Nagpur (Urban),Smt. Vimla Dr. Laxminarayan Soni Higher English School & Junior College,
Nagpur (Urban),THE SWAMI NARAYAN SCH.,
Nagpur (Urban),VIDYANIKETHAN HIGH SCHOOL,
Kuhi,"Adarsh Sanskar Anudanit Adiwasi Ashram School, At.Po.  Mandhal, Tah. Kuhi, Dist. Nagpur",
Kuhi,"M.M.RAUT(P) VDHYALAYA & JR COLLEGE OF ARTS & SCI. , MANDHAL",
Kuhi,"RASHTRIYA MADHYAMIK VIDYALYA , MANDHAL",
Kuhi,"Z.P.HIGH SCHOOL, MANDHAL",
Nagpur (Rural),"C.G. WANJARI PUBLIC SCHOOL,NARSALA",
Nagpur (Rural),"GREEN CITY HIGH SCHOOL, SOUBHAGYA NAGAR",
Nagpur (Rural),SHRI SAI SANSKAR VIDYANIKETAN AND JUNIOR COLLEGE,
Nagpur (Rural),ST. PAUL HIGH SCHOOL,
Nagpur (Urban),HADAS HIGH SCH (UPP MDY),
Nagpur (Urban),JUPITER MARATHI  HIGH SCHOOL,
Nagpur (Urban),M.K.H. SANCHETI PUBLIC SCHOOL AND JUNIOR COLLEGE,
Nagpur (Urban),PRA.ARUNRAO KALODE VDY &JN.COLLAGE,
Nagpur (Urban),SARASWATI VIDYALAYA SHANKARNAGAR NAGPUR,
Nagpur (Urban),SINDHI HINDI HIGHER SECONDARY SCHOOL,
Nagpur (Urban),"SINDI HINDI HIGH SCHOOL & JR.COLLAGE, KHAMLA, NAGPUR-440025",
Nagpur (Urban),"SOMALWAR HIGH SCH & JR. CO.NIKALAS BRANCH,NAGPUR.",
Nagpur (Urban),SOMALWAR HIGH SCHOOL & JUNIOR COLLEGE,
Nagpur (Urban),SOMALWAR MIDDLE SCHOOL,
Nagpur (Urban),TARKUNDE DHARAMPETH HIGH SCHOOL,
Nagpur (Urban),TIP TOP CONVENT SECONDARY & HIGHER SED SCHOOL,
Miraj,"VIDYAMANDIR PRASHALA,MIRAJ",
Mudkhed,M. GANDHI H.S. MUDKHED,
Mudkhed,RAJARSHI SHAHU SEC AND HIGHER SEC VIDHYALAY MUDKHED,
Mudkhed,Secondary and Higher Secondary Ashram School Mudkhed,
Pune City,Cygnet public school & Junior College,
Pune City,PRAGATI SEONDARY,
Tumsar,ADARSH VIDHYALAYA  SIHORA,
Tumsar,MAHARASHTRA HIGH SCHOOL SIHORA,
Hadgaon,ADARSH VIDHYALYA MANATHA,
Shirur,ADARSH VID KHALAPURI,
Shirur,Bajirao Patil Secondari and Higher Secondary School Jamb,
Khandala,DNANSNVARDHINI MAD. V. SHIRVAL,
Khandala,PRAGATI GIRLS HIGH. SHIRVAL,
Jalgaon,ADARSH VIDYA. KANALDA,
Katol,ADARSH VIDYALA AND Jr. COLLEGE KACHERISAWANGA,
Tirora,ADARSH VIDYALAYA AND ART & SCIENCE JUNIOR COLLAGE GONDMOHADI,
Tirora,SEJGAON HIGHSCHOOL & JR. COLLEGE SEJGAON,
Vasai,DR  N P SHAH ENGLISH MEDIUM SCHOOL AGASHI,
Vasai,M G M  ACADEMYS HIGH SCHOOL,
Vasai,MULJIBHAI MEHTA INT SCHOOL,
Vasai,ST. JOSEPHS HIGH SCHOOL & JR COLLEGE,
Achalpur,"ADARSH VIDYALAYA,KANDALI",
Achalpur,"RAMKRUSHNA VIDYALAYA,KANDALI",
Kalyan,ARYA GURUKUL,
Kalyan,SAKHARAM VIDYALAY,
Kalyan,SARVODYA VIDYALAY NILAJE SEC SCH,
Mahad,ANJUMAN HIMAATUL ISLAM URDU,
Mahad,K E S ENGLISH MED SEC SCHOOL,
Parli,SHANTI NIKETAN ASHRAM SH DARAVTI,
