Taluka,College Name,Name Data
Latur,"Shri V. D. Deshmukh College of MCA, Kolpa Dist. Latur",
Chakur,"D. B. Institute Of Management & Research, Mouza-Mahalngra,Ta.Chakur,Dist.Latur",
Latur,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",
Latur,"Maitree Foundation's Maitree Institute of Management & Technology, Bhatangali Tal.& Dist. Latur",
Kandhar,"Jai Jawan Jai Kisan Shikshan Prasarak Mandal, Swami Ramanand Teerth Polytechnic, Kandhar, Nanded",
Osmanabad,"V. J. Shinde Polytechnic Institute, Osmanabad.",
Deglur,"Rajiv Gandhi Polytechnic, Markhel, Tal.Degloor, Dist.Nanded.",
Osmanabad,"V.J. Shinde College of Engineering, Osmanabad.",
Nanded,"Shri. Sharda Bhavan Education Society's Acadmy of Architecture, Nanded.",
Aurangabad,"Vivekanand Institute of Polytechnic, Aurangabad.",
Aurangabad,"Patel College of Architecture, Aurangabad",
Aurangabad,"CSMSS Chh. Shahu College of Engineering, Aurangabad",
Latur,"Swami Vikekanand Institute of Polytechnic, Latur",
Chakur,"D.B.Group of Instituions, School of Technology, At.Mahalangra, Tal.Chakur,Latur",
Aurangabad,"Student's Academic Education Society's, Oyster college Of Architecture",
Ausa,"Latur College of Pharmacy,Hasegaon, Tq- Ausa",
Aurangabad,"Rajesh Bhaiyya Tope College of Pharmacy, Aurangabad",
Nanded,"Ratneshwari Institute of Polytechnic, Nanded.",
Kalamnuri,"Sarswati Institute of Pharmacy, Kurtadi, Hingoli",
Bid,"Aditya Diploma Instiute of Pharmacy, Beed",
Bid,"Aditya Pharmacy College, Beed",
Manjlegaon,"Gurukrupa Institute of Pharamcy, Majalgaon",
Manwath,"PTSP Mandal's Pharmacy College, Manwath",
Vaijapur,"College of Pharmacy(D.Pharm), Khandala",
Phulambri,"Late Bhagirathi Yashwantrao Pathrikar College of D.Pharmacy, Pathri",
Mukhed,"Swargiya Lilawati Satish Awhad D.Pharmacy College(Minority), Kharab Khandgaon.",
Parbhani,"Warpudkar Institute of Pharmacy(D.Pharmacy), Pedgaon",
Parbhani,"Prerana Institute of Pharmacy(D.Pharmacy), Parbhani",
Pathri,"College of Pharmacy(D.Pharmacy), Pathri",
Ardhapur,"Savitribai College of Pharmacy, Bamani",
Ausa,"Latur College of Pharmacy, Gurunathappa Bavage Knowledge City",
Udgir,"Mauli College of Pharmacy(B.Pharm), Tondar, Udgir",
Bid,"Aditya College of Architecture, Beed",
Mukhed,"Rajashri Shahu College of Pharmacy, Markhel",
Ashti,"Anand Charitable Sanstha's Gangai Pharmacy College, Kada",
Parbhani,"Dyansadhana Institute of Pharmacy, Dharmapuri",
Kandhar,"Khandar College of Pharmacy, Kandhar",
Ashti,"Anand Charitable Sanstha's College of Pharmaceutical Science & Research, Ashti",
Aurangabad,"Rajesh Bhaiyya Tope College of B Pharmacy, Nipani, Aurangbad",
Aurangabad,"Bharat Ratna Dr. A.P. J. Abdul Kalam College of Architecture, Nipani, Aurangbad",
Osmanabad,"Shri Sai Janvikar Pratisthan's R.P. College of Pharmacy, Osmanabad",
Basmath,"Shri. Dhaneshwari Manav Vikas Mandal's S.V.P. College of Pharmacy, Hingoli",
Phulambri,"Usha Dwarkadas Pathrikar Institute of Pharmacy, Dongargaon Kawad",
Vaijapur,"Matoshri Institute of Pharmacy, Vaijapur",
Aurangabad,"Yashodeep Institute of Pharmacy, Pimpalgaon Pandhari",
Aurangabad,"Shreeyash Institute of Pharmacy, Aurangabad",
Bid,"Suraj Institute of Management, Beed",
Bid,"Mitthulalji Sarda MBA College, Beed",
Bid,"Kishori College of M.B.A., Beed",
Aurangabad,"Shreeyash Institute of Pharmaceutical Education & Research, Aurangabad",
Nanded,"Gramin College of Engineering, Vishnupuri, Nanded",
Mumbai City,"Jamnalal Bajaj Institute of Management Studies, Mumbai",
Mumbai City,"Sydenham Institute of Management Studies & Research & Entrepreneurship Education(SIMSREE), Mumbai",
Andheri,"Jankidevi Bajaj Institute of Management Studies, Santacruz, Mumbai",
Ratnagiri,"Government College of Pharmacy, Ratnagiri",
Mumbai City,"Government Institute of Printing Technology, Mumbai",
Mumbai Suburban,"Government Polytechnic, Mumbai",
Pen,"Government Polytechnic, Pen",
